INDID,CLASSID,CLASSDESC
7,A,Baked Snack Food
7,B,Fried/Oil Cook Snack Foods
7,C,Bread Snacks Baked
7,D,Bread Snacks Fried/Oil Cooked
7,G,"Fruit Snack Foods, Baked"
7,H,"Fruit Snack Foods, Fried/Oil Cooked"
7,I,"Grain Snacks (Whole, Split) Baked"
7,J,"Grain Snacks (Whole, Split) Fried/Oil Cooked"
7,M,"Meat/Poultry/Seafood Flavored, Baked Snack Foods"
7,Q,Vegetable Snacks (Other than Pulses) Baked
7,S,Starch Snacks Baked
7,T,Starch Snacks Fried/Oil Cook
7,U,Genetically Engineered Snacks
7,Y,"Snack Foods, N.E.C."
