INDID,CLASSID,CLASSDESC
77,A,Portion of device code
77,B,Portion of device code
77,C,Portion of device code
77,D,Portion of device code
77,E,Portion of device code
77,F,Portion of device code
77,G,Portion of device code
77,H,Portion of device code
77,I,Portion of device code
77,J,Portion of device code
77,K,Portion of device code
77,L,Portion of device code
77,M,Portion of device code
77,N,Portion of device code
77,O,Portion of device code
77,P,Portion of device code
77,Q,Portion of device code
77,R,Portion of device code
77,S,Portion of device code
77,T,Portion of device code
77,U,Portion of device code
77,V,Portion of device code
77,W,Portion of device code
77,X,Portion of device code
77,Y,Portion of device code
77,Z,Portion of device code
