INDID,ID,PRODDESC,CLASSCODE,Product code
33,2082,"Caramel Candy Bar, Hard, with Nuts or Nut Products (not Coconut)  (without Chocolate)",A,01
33,2083,"Caramel Candy Bar, Hard, with Coconut (without Chocolate)",B,01
33,2084,"Caramel Candy Bar, Hard with Fruit  (without Chocolate)",C,01
33,2085,"Caramel Candy Bar, Hard, with Nuts and Fruit  (without Chocolate)",D,01
33,2086,"Caramel Candy Bar, Hard, without Nuts and Fruit  (without Chocolate)",E,01
33,2087,"Caramel Candy Bar, Soft, with Nuts or Nut Products  (without Chocolate)",G,01
33,2088,"Caramel Candy Bar, Soft with Coconut  (without Chocolate)",H,01
33,2089,"Caramel Candy Bar, Soft, with Fruit  (without Chocolate)",J,01
33,2090,"Caramel Candy Bar, Soft, with Nuts and Fruit  (without Chocolate)",K,01
33,2091,"Caramel Candy Bar, Soft, without Nuts and Fruit  (without Chocolate)",L,01
33,2092,Cake Decoration (without Chocolate),S,01
33,2093,"Butterscotch Topping  (Topping without Fruit, Nuts or Chocolate)",T,01
33,2094,Bubble Gum (without Chocolate),U,01
33,2096,"Caramel Candy Pieces, Hard, with Nuts or Nut Products (not Coconut) (without Chocolate)",A,02
33,2097,"Caramel Candy Pieces, Hard, with Coconut (without Chocolate)",B,02
33,2098,"Caramel Candy Pieces, Hard, with Fruit  (without Chocolate)",C,02
33,2099,"Caramel Candy Pieces, Hard, with Nuts and Fruit (without Chocolate)",D,02
33,2100,"Caramel Candy Pieces, Hard, without Nuts or Fruit (without Chocolate)",E,02
33,2101,"Caramel Candy Pieces, Soft, with Nuts or Nut Products  (without Chocolate)",G,02
33,2102,"Caramel Candy Pieces, Soft, with Coconut  (without Chocolate)",H,02
33,2103,"Caramel Candy Pieces, Soft, with Fruit  (without Chocolate)",J,02
33,2104,"Caramel Candy Pieces, Soft, with Nuts and Fruit  (without Chocolate)",K,02
33,2105,"Caramel Candy Pieces, Soft, without Nuts and Fruit  (without Chocolate)",L,02
33,2106,Caramel/Candied Apple (without Chocolate),S,02
33,2107,"Caramel Topping (Topping without Fruit, Nuts or Chocolate)",T,02
33,2108,Chewing Gum (without Chocolate),U,02
33,2110,"Fondant Candy Bar, Hard, with Nuts or Nut Products (not Coconut) (without Chocolate)",A,03
33,2111,"Fondant Candy Bar, Hard, with Coconut (without Chocolate)",B,03
33,2112,"Fondant Candy Bar, Hard, with Fruit (without Chocolate)",C,03
33,2113,"Fondant Candy Bar, Hard, with Nuts and Fruit  (without Chocolate)",D,03
33,2114,"Fondant Candy Bar, Hard, without Nuts or Fruit  (without Chocolate)",E,03
33,2115,"Fondant Candy Bar, Soft, with Nuts or Nut Products (without Chocolate)",G,03
33,2116,"Fondant Candy Bar, Soft, with Coconut   (without Chocolate)",H,03
33,2117,"Fondant Candy Bar, Soft, with Fruit  (without Chocolate)",J,03
33,2118,"Fondant Candy Bar, Soft, with Nuts and Fruit  (without Chocolate)",K,03
33,2119,"Fondant Candy Bar, Soft, without Nuts and Fruit  (without Chocolate)",L,03
33,2120,Candy Coated Popcorn (without Chocolate),S,03
33,2121,"Marshmallow Topping  (Topping without Fruit, Nuts or Chocolate)",T,03
33,2123,"Fondant Candy Pieces, Hard, with Nuts or Nut Products (not Coconut) (without Chocolate)",A,04
33,2124,"Fondant Candy Pieces, Hard, with Coconut  (without Chocolate)",B,04
33,2125,"Fondant Candy Pieces, Hard, with Fruit  (without Chocolate)",C,04
33,2126,"Fondant Candy Pieces, Hard, with Nuts and Fruit  (without Chocolate)",D,04
33,2127,"Fondant Candy Pieces, Hard, without Nuts and Fruit  (without Chocolate)",E,04
33,2128,"Fondant Candy Pieces, Soft, with Nuts or Nut Products  (without Chocolate)",G,04
33,2129,"Fondant Candy Pieces, Soft, with Coconut  (without Chocolate)",H,04
33,2130,"Fondant Candy Pieces, Soft, with Fruit  (without Chocolate)",J,04
33,2131,"Fondant Candy Pieces, Soft, with Nuts and Fruit  (without Chocolate)",K,04
33,2132,"Fondant Candy Pieces, Soft, without Nuts and Fruit  (without Chocolate)",L,04
33,2133,Cereal Confection (without Chocolate),S,04
33,2135,"Candy Bars or Pieces (not Caramel or Fondant), Hard, with Nuts or Nut Products (not Coconut)(without",A,05
33,2136,"Candy Bar or Pieces (not Caramel or Fondant), Hard, with Coconut  (without Chocolate)",B,05
33,2137,"Candy Bar or Pieces (not Caramel or Fondant), Hard, with Fruit  (without Chocolate)",C,05
33,2138,"Candy Bar or Pieces (not Caramel or Fondant), Hard, with Nuts and Fruit (without Chocolate)",D,05
33,2139,"Candy Bar or Pieces (not Caramel or Fondant), Hard, without Nuts and Fruit (without Chocolate)",E,05
33,2140,"Candy Bar or Pieces (not Caramel or Fondant), Soft, with Nuts or Nut Products  (without Chocolate)",G,05
33,2141,"Candy Bar or Pieces (not Caramel or Fondant), Soft, with Coconut  (without Chocolate)",H,05
33,2142,"Candy Bar or Pieces (not Caramel or Fondant), Soft, with Fruit  (without Chocolate)",J,05
33,2143,"Candy Bar or Pieces (not Caramel or Fondant), Soft, with Nuts and Fruit  (without Chocolate)",K,05
33,2144,"Candy Bar or Pieces (not Caramel or Fondant), Soft, without Nuts and Fruit  (without Chocolate)",L,05
33,2145,"Marzipan, Coconut Roll (without Chocolate)",S,05
33,2147,"Flavored Candy, Hard (Live Savers, Etc.), with Nuts or Nut Products (not Coconut or Suckers)(without",A,06
33,2148,"Flavored Candy, Hard (Live Savers, Etc.), with Coconut  (without Chocolate)",B,06
33,2149,"Flavored Candy, Hard (Live Savers, Etc.), with Fruit  (without Chocolate)",C,06
33,2150,"Flavored Candy, Hard (Live Savers, Etc.), with Nuts and Fruit  (without Chocolate)",D,06
33,2151,"Flavored Candy, Hard (Live Savers, Etc.), without Nuts and Fruit  (without Chocolate)",E,06
33,2152,"Flavored Candy, Soft (Live Savers, Etc.), with Nuts or Nut Products  (without Chocolate)",G,06
33,2153,"Flavored Candy, Soft (Live Savers, Etc.), with Coconut  (without Chocolate)",H,06
33,2154,"Flavored Candy, Soft (Live Savers, Etc.), with Fruit  (without Chocolate)",J,06
33,2155,"Flavored Candy, Soft (Live Savers, Etc.), with Nuts and Fruit  (without Chocolate)",K,06
33,2156,"Flavored Candy, Soft (Live Savers, Etc.), without Nuts and Fruit  (without Chocolate)",L,06
33,2157,Lollipop (without Chocolate),S,06
33,2159,"Jellied Candies, Hard (Jelly Beans, Gum Drops, Etc.), with Nut or Nut Products (not Coconut)(without",A,07
33,2160,"Jellied Candies, Hard (Jelly Beans, Gum Drops, Etc.), with Coconut (without Chocolate)",B,07
33,2161,"Jellied Candies, Hard (Jelly Beans, Gum Drops, Etc.), with Fruit  (without Chocolate)",C,07
33,2162,"Jellied Candies, Hard (Jelly Beans, Gum Drops, Etc.), with Nuts and Fruit (without Chocolate)",D,07
33,2163,"Jellied Candies, Hard (Jelly Beans, Gum Drops, Etc.), without Nuts and Fruit  (without Chocolate)",E,07
33,2164,"Jellied Candies, Soft (Jelly Beans, Gum Drops, Etc.), with Nuts or Nut Products  (without Chocolate)",G,07
33,2165,"Jellied Candy, Soft (Jelly Beans, Gum Drops, Etc.), with Coconut  (without Chocolate)",H,07
33,2166,"Jellied Candy, Soft (Jelly Beans, Gum Drops, Etc.), with Fruit  (without Chocolate)",J,07
33,2167,"Jellied Candy, Soft (Jelly Beans, Gum Drops, Etc.), with Nuts and Fruit  (without Chocolate)",K,07
33,2168,"Jellied Candy, Soft (Jelly Beans, Gum Drops, Etc.), without Nuts and Fruit (without Chocolate)",L,07
33,2170,"Licorice Candy, Hard, with Nut or Nut Products (not Coconut) (without Chocolate)",A,08
33,2171,"Licorice Candy, Hard, with Coconut  (without Chocolate)",B,08
33,2172,"Licorice Candy, Hard, with Fruit (without Chocolate)",C,08
33,2173,"Licorice Candy, Hard, with Nuts and Fruit  (without Chocolate)",D,08
33,2174,"Licorice Candy, Hard, without Nuts and Fruit  (without Chocolate)",E,08
33,2175,"Licorice Candy, Soft, with Nuts or Nut Products (without Chocolate)",G,08
33,2176,"Licorice Candy, Soft, with Coconut  (without Chocolate)",H,08
33,2177,"Licorice Candy, Soft, with Fruit  (without Chocolate)",J,08
33,2178,"Licorice Candy, Soft, with Nuts and Fruit  (without Chocolate)",K,08
33,2179,"Licorice Candy, Soft, without Nuts and Fruit  (without Chocolate)",L,08
33,2181,"Marshmallow Candy, Hard, with Nuts or Nut Products (not Coconut) (without Chocolate)",A,09
33,2182,"Marshmallow Candy, Hard, with Coconut  (without Chocolate)",B,09
33,2183,"Marshmallow Candy, Hard, with Fruit (without Chocolate)",C,09
33,2184,"Marshmallow Candy, Hard, with Nuts and Fruit  (without Chocolate)",D,09
33,2185,"Marshmallow Candy, Hard, without Nuts and Fruit  (without Chocolate)",E,09
33,2186,"Marshmallow Candy, Soft, with Nuts or Nut Products  (without Chocolate)",G,09
33,2187,"Marshmallow Candy, Soft, with Coconut  (without Chocolate)",H,09
33,2188,"Marshmallow Candy, Soft, with Fruit  (without Chocolate)",J,09
33,2189,"Marshmallow Candy, Soft, with Nuts and Fruit  (without Chocolate)",K,09
33,2190,"Marshmallow Candy, Soft, without Nuts and Fruit  (without Chocolate)",L,09
33,2193,"Mint Candy, Hard, with Nuts or Nut Products (not Coconut) (without Chocolate)",A,11
33,2194,"Mint Candy, Hard with Coconut  (without Chocolate)",B,11
33,2195,"Mint Candy, Hard, with Fruit (without Chocolate)",C,11
33,2196,"Mint Candy, Hard, with Nuts and Fruit  (without Chocolate)",D,11
33,2197,"Mint Candy, Hard, without Nuts and Fruit  (without Chocolate)",E,11
33,2198,"Mint Candy, Soft, with Nuts or Nut Products  (without Chocolate)",G,11
33,2199,"Mint Candy, Soft, with Coconut (without Chocolate)",H,11
33,2200,"Mint Candy, Soft, with Fruit, (without Chocolate)",J,11
33,2201,"Mint Candy, Soft, with Nuts and Fruit  (without Chocolate)",K,11
33,2202,"Mint Candy, Soft, without Nuts and Fruit  (without Chocolate)",L,11
33,2204,"Mixed/Assorted Hard Candies w/nut,nut prods,seeds w/o coconut w/o chocolate",A,12
33,2205,Mixed/Assorted Hard Candy with Coconut (without Chocolate),B,12
33,2206,Mixed/Assorted Hard Candy with Fruit  (without Chocolate),C,12
33,2207,Mixed/Assorted Hard Candy with Nuts and Fruit (without Chocolate),D,12
33,2208,Mixed/Assorted Hard Candy without Nuts and Fruit (without Chocolate),E,12
33,2209,"Mixed/Assorted Soft Candy with Nuts, Nut Products, or seeds w/o coconut or chocolate",G,12
33,2210,Mixed/Assorted Soft Candy with Coconut  (without Chcocolate),H,12
33,2211,Mixed/Assorted Soft Candy with Fruit  (without Chocolate),J,12
33,2212,Mixed/Assorted Soft Candy with Nuts and Fruit  (without Chocolate),K,12
33,2213,"Mixed/Assorted Soft Candy without Nuts, Fruit or Chocolate)",L,12
33,2215,"Rock Candy, Hard, with Nuts or Nut Products (not Coconut) (without Chocolate)",A,13
33,2216,"Rock Candy, Hard, with Coconut (without Chocolate)",B,13
33,2217,"Rock Candy, Hard, with Fruit (without Chocolate)",C,13
33,2218,"Rock Candy, Hard, with Nuts and Fruit  (without Chocolate)",D,13
33,2219,"Rock Candy, Hard, without Nuts and Fruit  (without Chocolate)",E,13
33,2220,"Rock Candy, Soft, with Nuts or Nut Products (without Chocolate)",G,13
33,2221,"Rock Candy, Soft, with Coconut  (without Chocolate)",H,13
33,2222,"Rock Candy, Soft, with Fruit  (without Chocolate)",J,13
